Label,English,Chinese,Korean,Vietnamese
assess_label_create,Create,新建,,
assess_label_cancel,Cancel,取消,,
assess_label_save,Save,保存,,
assess_label_publish,Publish,发布,,
assess_msg_publish_content,Are you sure you want to publish this learning outcome?,确定要发布这个学习成果吗？,,
assess_label_ok,OK,确定,,
assess_label_create_new_learning_outcome,Create New Learning Outcome,新建学习成果,,
assess_label_learning_outcome_name,Learning Outcome Name,学习成果名称,,
assess_label_short_code,Short Code,短代码,,
assess_label_assumed,Assumed,假定达标,,
assess_label_program,Program,课程,,
assess_label_subject,Subject,学科,,
assess_label_category,Category,类别,,
assess_label_subcategory,Subcategory,子类别,,
assess_label_age,Age,年龄,,
assess_label_grade,Grade,年级,,
assess_label_estimated_time,Estimated Time(Minutes),预估时间(分钟),,
assess_label_keywords,Keywords,关键词,,
assess_label_description,Description,描述,,
assess_label_published,Published,已发布,,
assess_label_pending,Pending,待审核,,
assess_label_unpublished,Unpublished,未发布,,
assess_label_assessments,Assessments,学习评估,,
assess_label_empty,Empty,空的,,
assess_label_search,Search,搜索,,
assess_msg_no_results_found,No results found,没有搜索结果,,
assess_label_my_only,My Only,只看我的,,
assess_label_bulk_actions,Bulk Actions,批量处理,,
assess_label_delete,Delete,删除,,
assess_msg_delete_content,Are you sure you want to delete this learning outcome?,确定要删除这个学习成果吗？,,
assess_msg_remove_select_one,At least one learning outcome should be selected.,至少选择一个学习成果。,,
assess_label_sort_by,Sort By,排序,,
assess_label_name_atoz,Name(A-Z),名称(A-Z),,
assess_label_name_ztoa,Name(Z-A),名称(Z-A),,
assess_label_created_on_newtoold,Created On(New-Old),创建时间(新-旧),,
assess_label_created_on_oldtonew,Created On(Old-New),创建时间(旧-新),,
assess_label_learning_outcome,Learning Outcome,学习成果,,
assess_label_milestone,Milestone,阶段,,
assess_label_Standard,Standard,标准,,
assess_label_yes,Yes,是,,
assess_label_created_on,Created On,创建时间,,
assess_label_author,Author,发布者,,
assess_label_actions,Actions,操作,,
assess_label_draft,Draft,草稿,,
assess_label_waiting_for_approval,Waiting for Approval,我提交的,,
assess_label_rejected,Rejected,被拒绝,,
assess_label_republish,Republish,重新发布,,
assess_msg_republish_content,Are you sure you want to republish this learning outcome?,确定要重新发布这个学习成果吗？,,
assess_label_organization,Organization,机构,,
assess_label_approve,Approve,通过,,
assess_label_reject,Reject,拒绝,,
assess_msg_reject_reason,Please specify the reason for rejection.,请输入拒绝理由。,,
assess_label_reason,Reason,拒绝理由,,
assess_error_no_permissions,No permissions,没有权限,,
assess_error_no_network_connection,No network connection,没有网络连接,,
assess_error_unknown_error,Unknown error,未知错误,,
